,Product_name,Prices,Description
0,"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
1,"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
2,Nokia 2660 DS 4G Flip,"₹4,894",128 MB RAM | 48 MB ROM7.11 cm (2.8 inch) Display0.3MP Rear Camera1450 mAh Battery1 YEAR
3,Nokia 2660 DS 4G Flip,"₹4,629",128 MB RAM | 48 MB ROM7.11 cm (2.8 inch) Display0.3MP Rear Camera1450 mAh Battery1 YEAR
4,"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera","₹3,879",64 MB RAM | 128 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera1150 mAh Lithium-ion BatteryUnisoc Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
5,"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera","₹3,988",64 MB RAM | 128 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera1150 mAh Lithium-ion BatteryUnisoc Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
6,"Nokia 225 4G DS Keypad Mobile with Long Battery Life,Built-in Camera","₹3,799",64 MB RAM | 128 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera1150 mAh Lithium-ion BatteryUnisoc Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
7,"Nokia 2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,912",0.046875 GB RAM | 0.125 GB ROM7.11 cm (2.8 Inch) QVGA Display0.3MP Rear Camera1450 mAh Lithium Ion Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
8,"Nokia 2660 Flip 4G Volte Blue keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,913",0.046875 GB RAM | 0.125 GB ROM7.11 cm (2.8 Inch) QVGA Display0.3MP Rear Camera1450 mAh Lithium Ion Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
9,"I Kall K-510 (Purple, 32 GB)","₹4,499",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) Display13MP Rear Camera3000 mAh BatteryOne Year Domestic Warranty
